dataset_id	sample_id	group	tissue	time_hr	batch	replicate	platform	library_layout	library_source	raw_treatment
GSE139529	SRR10358651	ad.mva	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358652	ad.mva	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358653	ad.mva	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358654	ad.mva	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358655	ad.mva	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358656	ad.mva	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358657	ad_empty	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358658	ad_empty	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358659	ad_empty	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358660	ad_empty	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358661	ad_empty	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358662	ad_empty	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358615	ad_fhbp	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358616	ad_fhbp	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358617	ad_fhbp	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358618	ad_fhbp	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358619	ad_fhbp	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358620	ad_fhbp	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358674	ad_pref	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358675	ad_pref	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358676	ad_pref	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358677	ad_pref	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358678	ad_pref	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358679	ad_pref	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358633	bex.bex	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358634	bex.bex	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358635	bex.bex	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358636	bex.bex	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358637	bex.bex	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358638	bex.bex	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358627	bexsero	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358628	bexsero	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358629	bexsero	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358630	bexsero	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358631	bexsero	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358632	bexsero	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358639	mva.ad	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358640	mva.ad	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358641	mva.ad	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358642	mva.ad	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358643	mva.ad	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358644	mva.ad	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358621	mva_fhbp	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358622	mva_fhbp	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358623	mva_fhbp	blood	24	NA	3	NA	NA	NA	NA
